uri,Alias,Genotype,Treatment,Repetition,Sowing,Harvesting,Biomass(gramos_pesofresco)
http://www.phenome-fppn.fr/m3p/arch/2017/c17001232,1232/DZ_PG_51/ZM4350/WD/Veg_3/21_32/ARCH2017-03-30,iPG234,WD,3,06/04/2017,12/05/2017,280
http://www.phenome-fppn.fr/m3p/arch/2017/c17001233,1233/DZ_PG_50/ZM4363/WD/Veg_3/21_33/ARCH2017-03-30,iPG233,WD,3,06/04/2017,12/05/2017,177
http://www.phenome-fppn.fr/m3p/arch/2017/c17001234,1234/DZ_PG_35/ZM4358/WD/Veg_3/21_34/ARCH2017-03-30,iPG164,WD,3,06/04/2017,12/05/2017,169
http://www.phenome-fppn.fr/m3p/arch/2017/c17001235,1235/DZ_PG_26/ZM4387/WD/Veg_3/21_35/ARCH2017-03-30,iPG138,WD,3,06/04/2017,12/05/2017,114
http://www.phenome-fppn.fr/m3p/arch/2017/c17001236,1236/DZ_PG_20/ZM4344/WD/Veg_3/21_36/ARCH2017-03-30,iPG119,WD,3,06/04/2017,12/05/2017,189
http://www.phenome-fppn.fr/m3p/arch/2017/c17001237,1237/DZ_PG_34/ZM4384/WD/Veg_3/21_37/ARCH2017-03-30,iPG159,WD,3,06/04/2017,12/05/2017,155
http://www.phenome-fppn.fr/m3p/arch/2017/c17001238,1238/DZ_PG_12/ZM1304_lot1/WD/Veg_3/21_38/ARCH2017-03-30,iPG082,WD,3,06/04/2017,12/05/2017,140
http://www.phenome-fppn.fr/m3p/arch/2017/c17001239,1239/DZ_PG_04/ZM4366/WD/Veg_3/21_39/ARCH2017-03-30,iPG321,WD,3,06/04/2017,12/05/2017,200
http://www.phenome-fppn.fr/m3p/arch/2017/c17001240,1240/DZ_PG_28/ZM4383/WD/Veg_3/21_40/ARCH2017-03-30,iPG148,WD,3,06/04/2017,12/05/2017,149
http://www.phenome-fppn.fr/m3p/arch/2017/c17001241,1241/DZ_PG_46/ZM4374/WD/Veg_3/21_41/ARCH2017-03-30,iPG195,WD,3,06/04/2017,12/05/2017,
http://www.phenome-fppn.fr/m3p/arch/2017/c17001242,1242/DZ_PG_41/ZM4378/WD/Veg_3/21_42/ARCH2017-03-30,iPG181,WD,3,06/04/2017,12/05/2017,170
http://www.phenome-fppn.fr/m3p/arch/2017/c17001243,1243/DZ_PG_19/ZM4367/WD/Veg_3/21_43/ARCH2017-03-30,iPG117,WD,3,06/04/2017,12/05/2017,113
http://www.phenome-fppn.fr/m3p/arch/2017/c17001244,1244/DZ_PG_31/ZM4347/WD/Veg_3/21_44/ARCH2017-03-30,iPG153,WD,3,06/04/2017,12/05/2017,219
http://www.phenome-fppn.fr/m3p/arch/2017/c17001245,1245/DZ_PG_54/ZM4346/WD/Veg_3/21_45/ARCH2017-03-30,iPG116,WD,3,06/04/2017,12/05/2017,198
http://www.phenome-fppn.fr/m3p/arch/2017/c17001246,1246/DZ_PG_18/ZM4373/WD/Veg_3/21_46/ARCH2017-03-30,iPG111,WD,3,06/04/2017,12/05/2017,120
http://www.phenome-fppn.fr/m3p/arch/2017/c17001247,1247/DZ_PG_47/ZM4362/WD/Veg_3/21_47/ARCH2017-03-30,iPG202,WD,3,06/04/2017,12/05/2017,193
http://www.phenome-fppn.fr/m3p/arch/2017/c17001248,1248/DZ_PG_52/ZM4370/WD/Veg_3/21_48/ARCH2017-03-30,iPG239,WD,3,06/04/2017,12/05/2017,188
http://www.phenome-fppn.fr/m3p/arch/2017/c17001249,1249/DZ_PG_22/ZM4349/WD/Veg_3/21_49/ARCH2017-03-30,iPG121,WD,3,06/04/2017,12/05/2017,160
http://www.phenome-fppn.fr/m3p/arch/2017/c17001250,1250/DZ_PG_67/ZM4394/WD/Veg_3/21_50/ARCH2017-03-30,iPG310,WD,3,06/04/2017,12/05/2017,160
http://www.phenome-fppn.fr/m3p/arch/2017/c17001251,1251/DZ_PG_48/ZM4421/WD/Veg_3/21_51/ARCH2017-03-30,iPG216,WD,3,06/04/2017,12/05/2017,166
http://www.phenome-fppn.fr/m3p/arch/2017/c17001252,1252/DZ_PG_21/ZM4360/WD/Veg_3/21_52/ARCH2017-03-30,iPG120,WD,3,06/04/2017,12/05/2017,143
http://www.phenome-fppn.fr/m3p/arch/2017/c17001253,1253/DZ_PG_14/ZM4375/WD/Veg_3/21_53/ARCH2017-03-30,iPG101,WD,3,06/04/2017,12/05/2017,175
http://www.phenome-fppn.fr/m3p/arch/2017/c17001254,1254/DZ_PG_72/ZM4398/WD/Veg_3/21_54/ARCH2017-03-30,iPG314,WD,3,06/04/2017,12/05/2017,186
http://www.phenome-fppn.fr/m3p/arch/2017/c17001255,1255/DZ_PG_10/ZM4365/WD/Veg_3/21_55/ARCH2017-03-30,iPG073,WD,3,06/04/2017,12/05/2017,196
http://www.phenome-fppn.fr/m3p/arch/2017/c17001256,1256/DZ_PG_01/ZM4381/WD/Veg_3/21_56/ARCH2017-03-30,iPG004,WD,3,06/04/2017,12/05/2017,141
http://www.phenome-fppn.fr/m3p/arch/2017/c17001257,1257/DZ_PG_44/ZM4369/WD/Veg_3/21_57/ARCH2017-03-30,iPG189,WD,3,06/04/2017,12/05/2017,148
http://www.phenome-fppn.fr/m3p/arch/2017/c17001258,1258/DZ_PG_40/ZM4390/WD/Veg_3/21_58/ARCH2017-03-30,iPG176,WD,3,06/04/2017,12/05/2017,168
http://www.phenome-fppn.fr/m3p/arch/2017/c17001259,1259/DZ_PG_03/ZM4377/WD/Veg_3/21_59/ARCH2017-03-30,iPG017,WD,3,06/04/2017,12/05/2017,171
http://www.phenome-fppn.fr/m3p/arch/2017/c17001260,1260/DZ_PG_66/ZM4391/WD/Veg_3/21_60/ARCH2017-03-30,iPG318,WD,3,06/04/2017,12/05/2017,162
http://www.phenome-fppn.fr/m3p/arch/2017/c17001261,1261/DZ_PG_67/ZM4394/WW/Rep_6/22_01/ARCH2017-03-30,iPG310,WW,6,06/04/2017,12/06/2017,582
http://www.phenome-fppn.fr/m3p/arch/2017/c17001262,1262/DZ_PG_20/ZM4344/WW/Rep_6/22_02/ARCH2017-03-30,iPG119,WW,6,06/04/2017,09/06/2017,496
